Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
5877,B000FL0A9K,A2F050IXG8RBQJ,nana n,0,0,5,1312675200,good to find decafe one,"Glad to find this for a birthday present as hard to find decaf ones in store.<br /><br />Makes good ice slushy and milk sakes cold.<br /><br />For those who can not take decaf, these are , and making them at home sure beats Starbucks prices."
6556,B00959DMWK,A14HCVAESP0PPF,lucy burany,0,0,5,1347408000,the best tasting turkish delight,"I ordered this assorted bartons turkish delight 6in1 it is delicious .I took it to my parents house for my sister's birthday among her gifts which I also bought at amazon everyone at the party loved this Turkish delight so much they even wanted to buy it for them and I told them amazon go there they have everything,amazon thank you as allways bringing us International flavors without leaving our homes."
1449,B001E50UEQ,A3A7AWWYDEE9QI,Deborah L Weeks,0,0,5,1282780800,Hormel Compleats are simply wonderful,"These dinners are as close to perfect as can be found here in the mountains.  Quick, easy and delicious!"
3352,B005K4Q1VI,A1WLPEM7Z6LM35,"Gabriela C. Zakak ""Gab""",0,0,5,1326672000,Awesome!,"This is the best hot cocoa I have tried for the Keurig.... Rich, chocolate flavor (I used the 6oz setting) and it is not watery.  If you like hot cocoa, and the convenience of a K-cup, this is the one to get!"
232,B003SO503C,A3OXRFCJI67IMN,Bold Consumer,0,0,5,1333843200,Really Nice Taste!,"I'm trying several of the Wu Yi teas. I like this one particularly because of the subtle citrus taste. It also has a natural sweetness.<br /><br />The ingredients include Organic Wu-Li Cliff Oolong Tea (700 mg), Organic Black Tea (600 mg), Organic Green Tea Extract (100 mg), Proprietary blend (600 mg), plus some Ginseng (panax), Orange Peel, Lemon Grass, and Guarana. Other Ingredients: Natual Orange and Citrus flavors.<br /><br />My goal is to drink more tea and less coffee. I am enjoying trying a different kind of tea every day. I'll be coming back to this one."
1205,B005O072PC,A257TD5GO1T81W,"M. Ferrin ""Dinnerandamurder.com""",19,21,5,1172102400,Yummy,"Despite what some think there is a ton of fillers in here (see the ingredient list on the Omaha site), but.... that is not a bad thing in this case. They are not unhealthy fillers and these are very delicious. Our kids just love them. We serve one ball as a serving as that is the perfect healthy carb portion for a meal. 1 piece has the following nutrition just in case you are wondering:<br /><br />Calories: 120<br /><br />Fat: 4.5<br /><br />Trans Fat: 0<br /><br />Sodium: 270<br /><br />Carbohydrate: 17<br /><br />Protein: 3<br /><br />For our dinners we try to keep our carb side to under 5 fat & 25 carb. This fits perfectly & the taste is superb. Baked in the oven, they come out crispy on the outside and moist and tender on the inside. All with no grease. We now keep these on hand instead of french fries. I know they cost more, but they taste better and they are so much healthier. We wait for one of the sales and buy several boxes at a time."
1912,B0016PKA1C,A21KEWQVHOIHFJ,ocannie2002,14,14,2,1293321600,Found the solution on how to open it,"I bought this because I had been seeing this pod in magazines and other places. I thought it would be a great addition to my fridge to save money on cilantro. However, this is very poorly designed. I could not open it whats-or-ever, even after searching through reviews after reviews. Finally, my genius boyfriend found the solution! Basically, you will need to open it from the BOTTOM. You will need to squeeze the two sides next to the cap in order to open it. You will have to be careful when you are opening or closing it while there's water in the pot. If any one who is reading this still having problem opening it. Let me know. I'll try to explain it better there. But anyway, this is a pretty useless product for its productivity, but a bit more useful if you are too lazy to make your own, and wants a prettier fridge. You can make you own with a cup (or any container) filled with a bit of water and wrapped in plastic bag with the herb....(so unless you have money to waste, don't buy this useless pot)."
9649,B001LXYA5Q,AA6G9Y6FCQIUW,Sam,1,9,1,1317772800,Ehhhhhh,"Well I bought these to have a ""Food Tripping Party"" with my wife. I had a spread before us of lemons, limes, strawberries, blackberries, oranges, and grapefruit. We both started with half a pill each as per the reviews here. I then took a bite of a lemon. I guess is was sweeter but not by much, though I was able to eat it. It was like a sweet + tart food which I guess is because of the acid in the fruit. I then ate another half of pill because the instructions that came with the pills stated to take a full one. I tried again. It made the lemons bearable but not super sweet. You would not be able to eat an entire be happy. I went onto the other fruits and the same thing. You could still taste the tart with a sweet aftertaste. My wife said this, ""Well it makes it so you can eat lemons, but who wants to sit around eating lemons all day?"" I'm disappointed BUT the price was cheap enough and it was a fun thing to do with my wife. I'll pawn these off on friends and see what they say. To all the people who threw parties and raved and raved about how everyone loved them, my guess is that they didn't want you to feel bad."
8439,B003VXFK44,A3J0QAR99EITWT,J. Riggs,0,0,5,1327363200,Yum!!,"I am not a huge morning coffee person as this seems to be the only time of day black coffee upsets my stomach. No idea why. My work got a Keurig recently and buy the Caribou regular and morning blends, which are ok but I can hardly drink them unless there's a creamer of some sort in them.<br /><br />So on a recent trip to BB&B I perused their wall of K-cups and this one caught my eye. I am generally a fan of flavored coffees and this sounded good, so I bought an 18 cup pack. I have to say it is delicious! The coconut flavor is light but definitely there, and doesn't leave a bitter aftertaste like most black coffees do. It smells so good my co-workers have done a 180 walking by my desk to ask me what smells so good.<br /><br />Obviously if you're a coffee connoisseur this won't be for you, but if not it is definitely worth a shot. And the best part for me, aside from the flavor, no stomach upset!"
7542,B0018RXITE,A3EWN2841AFTSR,Francis,4,4,5,1327449600,ONLY SUNFLOWER BUTTER WE WILL BUY,"oUR 3 YEAR OLD SON WAS DIAGNOSED WITH BEING ALLERGIC TO SOY AND PEANUTS. THIS IS THE ONLY SUNFLOWER BUTTER THAT WE HAVE FOUND THAT IS FREE OF BOTH ALLERGENS AND NOT PROCESSED ON SHARED EQUIPMENT.  THIS IS THE ONLY PRODUCT WE BUY NOW.  OUR SON LIKES IT ON PB&J, CRACKERS, ON CELERY AND BY THE SPOONFUL AND WITH NO SUGARS ADDED MUCH MORE HEALTHY FOR HIM."
2590,B000EGX2EG,A8BIS0F756JVL,Kathy,0,0,5,1172620800,Delicious healthy snack,I have tryed the Almond Crunch and is delicious and healthy snack better than chips Try it you'll agree
978,B001EQ4DVQ,A680RUE1FDO8B,Jerry Saperstein,0,0,5,1259452800,Brews an excellent cup of coffee quickly and easily,"My primary point with this review is to note that this packaging is less expensive than the other size offered by Folger. You get more coffee for less money.<br /><br />  I recently started drinking coffee again after a lapse of many years. Since I didn't know how many cups a day I would use, I wanted to avoid the fuss of a coffeemaker. I don't particularly like instant coffee. I was delighted to find these Folger's bags.<br /><br />  They brew a very nice tasting cup of coffee. I'm not any kind of coffee expert, so I don't know what special terms might be used. All I know is that if I let the bag seep for a bit more than a minute, it sure tastes good. Thanks to my very much better half, I've also learned that each of these bags will produce at least two good cups of coffee.<br /><br />  Very convenient, very easy, very tasty. I intend to take some of these with me when I travel as an alternative to the in-room coffee makers or (yeck!) vending machines.<br /><br />Jerry"
4685,B001GBBQU0,AS1FCKNKY95ID,"Juli A. Lee ""JingleJL""",0,0,4,1340755200,Delicious with questions,"I have been looking at this product for a couple months and finally gave in.  First of all, the name got my interest!  The taste is delicious BUT I'm having problems with the directions!  Haven't figured out if it's actually a hot beverage or do you put it in a hot beverage?!?!?!?!?  It has a scoop (small) and says to put that in a cup (instructions for 8 oz.) and then put a couple ""shots"" of hot water!  Shots of water????  And you can add frothing milk.  Hum!  Confused but I guess I will work with it.  Hope it doesn't take the whole container (very large) to figure it out. I would have given it 5 stars had I understood the instructions!"
3815,B000X2CWTM,A3SWS3XC6828NX,Book lover,4,4,5,1243900800,Likes it!,"I, myself, do not care for licorice but my husband thinks this is the best licorice he has ever had and he loves the stuff.  I have also given it to two friends who are licorice lovers and they say it is delicious."
4024,B000UZVPKO,A29313797NGT9L,Eddie Wannabee,3,4,4,1252713600,I like these!,"4.5. Just water and large pieces of sardines. Open for all types of combinations of which I find the old whole grain crackers, quality cheese, a particle of mayo and mustard and a hot cup of tea, the most appealing. They do lunch in a hurry and snack times as well. Solid product. Even drank the water in which they are laid to rest and not too shabby. Sardines are good for a person, everyone agrees on that. Even a Sardine sandwich sounds about right in the next few minutes (the better the bread the better the sandwich...) so yes, 4 Solid Stars and I am hungry for the product right now, come to think of it!"
4190,B004391DK0,A32O1Y2DOSWESZ,blessedbyfour,0,0,5,1328054400,this is a great product!,I love this!  Such a great product for all us gluten free folks!  It works the same as the regular Bisquick. Their website has tons of gf recipes too!  This makes delicious pancakes and 'magic crust' pies. Yummy!
9247,B006N3IG4K,A33W4H88UWCIJG,Nola Brech,0,0,4,1307145600,Wish I were in Hawaii,"This is good, but could be a bit stronger in the Hazelnut flavor. It is good though and I would purchase it again."
9005,B006N3IG4K,A2L02N07L0RG3P,Teresa,1,1,5,1296345600,Island Escape!,I tried this flavor within a variety pack and LOVED IT!  I usually add cream and sugar to my coffee.  With this k cup I added coconut creamer and found that I did not have to add any sugar!  It was so sweet and light and tasted just like a pina colada.  I absolutley love this k cup and am planning to sign up for subscribe and save on this one!
